Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.09     0.00    25840     0.00     0.00  int* std::__copy_move_a<true, int*, int*>(int*, int*, int*)
  0.00      0.09     0.00    25840     0.00     0.00  int* std::__copy_move_a2<true, int*, int*>(int*, int*, int*)
  0.00      0.09     0.00    25840     0.00     0.00  int* std::uninitialized_copy<std::move_iterator<int*>, int*>(std::move_iterator<int*>, std::move_iterator<int*>, int*)
  0.00      0.09     0.00    25840     0.00     0.00  int* std::__uninitialized_copy_a<std::move_iterator<int*>, int*, int>(std::move_iterator<int*>, std::move_iterator<int*>, int*, std::allocator<int>&)
  0.00      0.09     0.00    25840     0.00     0.00  int* std::__uninitialized_move_if_noexcept_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&)
  0.00      0.09     0.00    25840     0.00     0.00  int* std::copy<std::move_iterator<int*>, int*>(std::move_iterator<int*>, std::move_iterator<int*>, int*)
  0.00      0.09     0.00    24577     0.00     0.00  Token::getFieldOfView()
  0.00      0.09     0.00    21747     0.00     0.00  std::vector<Useraction, std::allocator<Useraction> >::size() const
  0.00      0.09     0.00    12567     0.00     0.00  Game::getNeighbour(position, Direction)
  0.00      0.09     0.00    11361     0.00     0.00  std::_Vector_base<Node*, std::allocator<Node*> >::_M_get_Tp_allocator()
  0.00      0.09     0.00     9451     0.00     0.00  Useraction const& std::forward<Useraction const&>(std::remove_reference<Useraction const&>::type&)
  0.00      0.09     0.00     9451     0.00     0.00  Node* const& std::forward<Node* const&>(std::remove_reference<Node* const&>::type&)
  0.00      0.09     0.00     9359     0.00     0.00  Game::isTokenFromCurrentTeam(position)
  0.00      0.09     0.00     9260     0.00     0.00  std::_Iter_base<Node**, false>::_S_base(Node**)
  0.00      0.09     0.00     9260     0.00     0.00  std::_Niter_base<Node**>::iterator_type std::__niter_base<Node**>(Node**)
  0.00      0.09     0.00     8489     0.00     0.00  std::vector<Node*, std::allocator<Node*> >::_M_range_check(unsigned long) const
  0.00      0.09     0.00     8489     0.00     0.00  std::vector<Node*, std::allocator<Node*> >::at(unsigned long)
  0.00      0.09     0.00     8489     0.00     0.00  std::vector<Node*, std::allocator<Node*> >::operator[](unsigned long)
  0.00      0.09     0.00     8285     0.00     0.00  Node::getCost()
  0.00      0.09     0.00     7763     0.00     0.00  __gnu_cxx::new_allocator<Node*>::~new_allocator()
  0.00      0.09     0.00     7763     0.00     0.00  std::allocator<Node*>::~allocator()
  0.00      0.09     0.00     7726     0.00     0.00  __gnu_cxx::new_allocator<Node*>::new_allocator(__gnu_cxx::new_allocator<Node*> const&)
  0.00      0.09     0.00     7726     0.00     0.00  __gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > >::__normal_iterator(Node* const* const&)
  0.00      0.09     0.00     7726     0.00     0.00  __gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > >::base() const
  0.00      0.09     0.00     7726     0.00     0.00  std::allocator<Node*>::allocator(std::allocator<Node*> const&)
  0.00      0.09     0.00     7726     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > >, false>::_S_base(__gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > >)
  0.00      0.09     0.00     7726     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > >, true>::_S_base(__gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > >)
  0.00      0.09     0.00     7726     0.00     0.00  std::_Miter_base<__gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > > >::iterator_type std::__miter_base<__gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > > >(__gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > >)
  0.00      0.09     0.00     7726     0.00     0.00  std::_Niter_base<__gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > > >(__gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > >)
  0.00      0.09     0.00     7652     0.00     0.00  std::vector<Useraction, std::allocator<Useraction> >::_M_range_check(unsigned long) const
  0.00      0.09     0.00     7652     0.00     0.00  std::vector<Useraction, std::allocator<Useraction> >::at(unsigned long)
  0.00      0.09     0.00     7652     0.00     0.00  std::vector<Useraction, std::allocator<Useraction> >::operator[](unsigned long)
  0.00      0.09     0.00     7461     0.00     0.00  std::_Vector_base<Node*, std::allocator<Node*> >::_M_get_Tp_allocator() const
  0.00      0.09     0.00     6460     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      0.09     0.00     6030     0.00     0.00  __gnu_cxx::new_allocator<Node*>::max_size() const
  0.00      0.09     0.00     5699     0.00     0.00  void std::_Destroy_aux<true>::__destroy<Node**>(Node**, Node**)
  0.00      0.09     0.00     5699     0.00     0.00  std::_Vector_base<Node*, std::allocator<Node*> >::_M_deallocate(Node**, unsigned long)
  0.00      0.09     0.00     5699     0.00     0.00  void std::_Destroy<Node**>(Node**, Node**)
  0.00      0.09     0.00     5699     0.00     0.00  void std::_Destroy<Node**, Node*>(Node**, Node**, std::allocator<Node*>&)
  0.00      0.09     0.00     5662     0.00     0.00  std::_Vector_base<Node*, std::allocator<Node*> >::_M_allocate(unsigned long)
  0.00      0.09     0.00     5397     0.00     0.00  __gnu_cxx::new_allocator<Useraction>::max_size() const
  0.00      0.09     0.00     5397     0.00     0.00  std::_Iter_base<Useraction*, false>::_S_base(Useraction*)
  0.00      0.09     0.00     5397     0.00     0.00  std::_Niter_base<Useraction*>::iterator_type std::__niter_base<Useraction*>(Useraction*)
  0.00      0.09     0.00     4842     0.00     0.00  Cell::setOccupied(bool)
  0.00      0.09     0.00     4841     0.00     0.00  Board::emptyCell(position)
  0.00      0.09     0.00     4390     0.00     0.01  Game::capturingPossible()
  0.00      0.09     0.00     4332     0.00     0.00  Node::getIsMax()
  0.00      0.09     0.00     4239     0.00     0.00  std::_Vector_base<Useraction, std::allocator<Useraction> >::_M_get_Tp_allocator()
  0.00      0.09     0.00     3907     0.00     0.00  Cell::setToken(Token)
  0.00      0.09     0.00     3900     0.00     0.00  std::_Vector_base<Node*, std::allocator<Node*> >::_Vector_impl::~_Vector_impl()
  0.00      0.09     0.00     3900     0.00     0.00  std::_Vector_base<Node*, std::allocator<Node*> >::~_Vector_base()
  0.00      0.09     0.00     3900     0.00     0.00  std::vector<Node*, std::allocator<Node*> >::~vector()
  0.00      0.09     0.00     3864     0.00     0.00  Board::Board()
  0.00      0.09     0.00     3863     0.00     0.00  Game::isMoveValid(position, position, Direction)
  0.00      0.09     0.00     3863     0.00     0.00  Game::captureToken(Useraction)
  0.00      0.09     0.00     3863     0.00     0.00  Game::capturingAgain()
  0.00      0.09     0.00     3863     0.00     0.00  Game::sameTokenSelected(position)
  0.00      0.09     0.00     3863     0.00     0.00  Game::isMoveDirectionValid(Direction)
  0.00      0.09     0.00     3863     0.00     0.00  Game::capture(Useraction, position, Direction, position, Direction, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      0.09     0.00     3863     0.00     0.00  Game::beenThere(position)
  0.00      0.09     0.00     3863     0.00     0.00  Game::moveToken(Useraction)
  0.00      0.09     0.00     3863     0.00     0.00  Node::getChildren()
  0.00      0.09     0.00     3863     0.00     0.00  Node::setCost(float)
